spark.executor.memory,spark.executor.cores,spark.executor.instances,runtime
3.0,1.0,8.0,276.2914523300774
4.9670451516002885,2.519387764133109,7.572075737362121,276.2914523300774
6.576198496609546,3.6560140775975256,8.0,208.52161642793868
3.0033489574016237,3.708587223216341,7.767743236419241,208.52161642793868
3.0055286246484094,3.931578157660173,7.753830958322133,208.52161642793868
5.696285169951317,3.990964036207206,7.848906015788156,208.52161642793868
3.030170459348415,4.0,7.768221625705817,208.52161642793868
6.081639095512717,3.8752323108370965,7.965506009546632,208.52161642793868
6.841941324859483,3.8411877314870555,7.974318321785406,208.52161642793868
6.998472143980384,3.9060029152694984,7.964791052375715,208.52161642793868
