spark.memory.offHeap.size,spark.shuffle.io.numConnectionsPerPeer,runtime
860.0,1.0,268.5371209716797
694.9884189361856,3.0,268.5371209716797
89.30716099939208,2.4711276544259073,268.5371209716797
0.0,3.8392463059943465,268.5371209716797
774.1319424851242,3.875271885262804,268.5371209716797
0.0,4.21441452468443,268.5371209716797
4.27947926517237,2.401258554626056,268.5371209716797
326.674898471364,5.0,268.5371209716797
637.4440677121785,1.6399081466742707,268.5371209716797
637.0008905472733,2.9661334985888663,268.5371209716797
